id_temps,date,jour,mois,annee,trimestre,jour_semaine,nom_jour,nom_mois,est_weekend,est_ferie_fr,est_ferie_uk,saison
1,2005-01-01,1,1,2005,1,6,Samedi,Janvier,1,1,1,Hiver
2,2005-01-02,2,1,2005,1,7,Dimanche,Janvier,1,0,0,Hiver
3,2005-01-03,3,1,2005,1,1,Lundi,Janvier,0,0,1,Hiver
4,2005-01-04,4,1,2005,1,2,Mardi,Janvier,0,0,0,Hiver
5,2005-01-05,5,1,2005,1,3,Mercredi,Janvier,0,0,0,Hiver
6,2005-01-06,6,1,2005,1,4,Jeudi,Janvier,0,0,0,Hiver
7,2005-01-07,7,1,2005,1,5,Vendredi,Janvier,0,0,0,Hiver
8,2005-01-08,8,1,2005,1,6,Samedi,Janvier,1,0,0,Hiver
9,2005-01-09,9,1,2005,1,7,Dimanche,Janvier,1,0,0,Hiver
10,2005-01-10,10,1,2005,1,1,Lundi,Janvier,0,0,0,Hiver
11,2005-01-11,11,1,2005,1,2,Mardi,Janvier,0,0,0,Hiver
12,2005-01-12,12,1,2005,1,3,Mercredi,Janvier,0,0,0,Hiver
13,2005-01-13,13,1,2005,1,4,Jeudi,Janvier,0,0,0,Hiver
14,2005-01-14,14,1,2005,1,5,Vendredi,Janvier,0,0,0,Hiver
15,2005-01-15,15,1,2005,1,6,Samedi,Janvier,1,0,0,Hiver
16,2005-01-16,16,1,2005,1,7,Dimanche,Janvier,1,0,0,Hiver
17,2005-01-17,17,1,2005,1,1,Lundi,Janvier,0,0,0,Hiver
18,2005-01-18,18,1,2005,1,2,Mardi,Janvier,0,0,0,Hiver
19,2005-01-19,19,1,2005,1,3,Mercredi,Janvier,0,0,0,Hiver
20,2005-01-20,20,1,2005,1,4,Jeudi,Janvier,0,0,0,Hiver
21,2005-01-21,21,1,2005,1,5,Vendredi,Janvier,0,0,0,Hiver
22,2005-01-22,22,1,2005,1,6,Samedi,Janvier,1,0,0,Hiver
23,2005-01-23,23,1,2005,1,7,Dimanche,Janvier,1,0,0,Hiver
24,2005-01-24,24,1,2005,1,1,Lundi,Janvier,0,0,0,Hiver
25,2005-01-25,25,1,2005,1,2,Mardi,Janvier,0,0,0,Hiver
26,2005-01-26,26,1,2005,1,3,Mercredi,Janvier,0,0,0,Hiver
27,2005-01-27,27,1,2005,1,4,Jeudi,Janvier,0,0,0,Hiver
28,2005-01-28,28,1,2005,1,5,Vendredi,Janvier,0,0,0,Hiver
29,2005-01-29,29,1,2005,1,6,Samedi,Janvier,1,0,0,Hiver
30,2005-01-30,30,1,2005,1,7,Dimanche,Janvier,1,0,0,Hiver
31,2005-01-31,31,1,2005,1,1,Lundi,Janvier,0,0,0,Hiver
32,2005-02-01,1,2,2005,1,2,Mardi,Février,0,0,0,Hiver
33,2005-02-02,2,2,2005,1,3,Mercredi,Février,0,0,0,Hiver
34,2005-02-03,3,2,2005,1,4,Jeudi,Février,0,0,0,Hiver
35,2005-02-04,4,2,2005,1,5,Vendredi,Février,0,0,0,Hiver
36,2005-02-05,5,2,2005,1,6,Samedi,Février,1,0,0,Hiver
37,2005-02-06,6,2,2005,1,7,Dimanche,Février,1,0,0,Hiver
38,2005-02-07,7,2,2005,1,1,Lundi,Février,0,0,0,Hiver
39,2005-02-08,8,2,2005,1,2,Mardi,Février,0,0,0,Hiver
40,2005-02-09,9,2,2005,1,3,Mercredi,Février,0,0,0,Hiver
41,2005-02-10,10,2,2005,1,4,Jeudi,Février,0,0,0,Hiver
42,2005-02-11,11,2,2005,1,5,Vendredi,Février,0,0,0,Hiver
43,2005-02-12,12,2,2005,1,6,Samedi,Février,1,0,0,Hiver
44,2005-02-13,13,2,2005,1,7,Dimanche,Février,1,0,0,Hiver
45,2005-02-14,14,2,2005,1,1,Lundi,Février,0,0,0,Hiver
46,2005-02-15,15,2,2005,1,2,Mardi,Février,0,0,0,Hiver
47,2005-02-16,16,2,2005,1,3,Mercredi,Février,0,0,0,Hiver
48,2005-02-17,17,2,2005,1,4,Jeudi,Février,0,0,0,Hiver
49,2005-02-18,18,2,2005,1,5,Vendredi,Février,0,0,0,Hiver
50,2005-02-19,19,2,2005,1,6,Samedi,Février,1,0,0,Hiver
