id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
1,1,29.0,Masculin,Avant gauche,Blessé léger,Conducteur
2,1,37.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
3,1,41.0,Masculin,Avant droit,Indemne,Passager
4,1,1.0,Masculin,Arrière droit,Indemne,Passager
5,1,7.0,Masculin,Arrière centre,Indemne,Passager
6,1,14.0,Féminin,Arrière gauche,Indemne,Passager
7,1,50.0,Masculin,Avant gauche,Indemne,Conducteur
8,1,26.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
9,1,22.0,Masculin,Avant gauche,Indemne,Conducteur
10,1,49.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
11,1,85.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
12,1,82.0,Féminin,Avant droit,Blessé hospitalisé,Passager
13,1,41.0,Masculin,Avant gauche,Blessé léger,Conducteur
14,1,33.0,Féminin,Avant gauche,Blessé léger,Conducteur
15,1,56.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
16,1,15.0,Masculin,Avant droit,Blessé léger,Passager
17,1,54.0,Féminin,Avant gauche,Tué,Conducteur
18,1,22.0,Masculin,Avant gauche,Blessé léger,Conducteur
19,1,40.0,Féminin,Avant gauche,Indemne,Conducteur
20,1,27.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
21,1,39.0,Masculin,Avant gauche,Blessé léger,Conducteur
22,1,80.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
23,1,79.0,Féminin,Avant droit,Blessé léger,Passager
24,1,55.0,Masculin,Avant gauche,Indemne,Conducteur
25,1,43.0,Masculin,Unknown,Blessé hospitalisé,Piéton
26,1,33.0,Masculin,Avant gauche,Indemne,Conducteur
27,1,31.0,Féminin,Avant gauche,Blessé léger,Conducteur
28,1,19.0,Masculin,Arrière droit,Blessé léger,Passager
29,1,21.0,Féminin,Avant droit,Blessé léger,Passager
30,1,19.0,Masculin,Avant gauche,Blessé léger,Conducteur
31,1,34.0,Féminin,Avant gauche,Blessé léger,Conducteur
32,1,20.0,Masculin,Avant gauche,Indemne,Conducteur
33,1,18.0,Féminin,Avant droit,Indemne,Passager
34,1,69.0,Féminin,Unknown,Blessé hospitalisé,Piéton
35,1,67.0,Féminin,Unknown,Blessé hospitalisé,Piéton
36,1,25.0,Masculin,Avant gauche,Tué,Conducteur
37,1,19.0,Masculin,Avant droit,Blessé hospitalisé,Passager
38,1,48.0,Masculin,Avant gauche,Blessé léger,Conducteur
39,1,45.0,Masculin,Avant gauche,Indemne,Conducteur
40,1,29.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
41,1,29.0,Féminin,Avant gauche,Indemne,Conducteur
42,1,22.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
43,1,53.0,Féminin,Avant gauche,Indemne,Conducteur
44,1,49.0,Masculin,Avant gauche,Indemne,Conducteur
45,1,53.0,Masculin,Unknown,Blessé léger,Piéton
46,1,56.0,Masculin,Unknown,Blessé léger,Piéton
47,1,42.0,Féminin,Avant gauche,Indemne,Conducteur
48,1,16.0,Masculin,Avant gauche,Blessé léger,Conducteur
49,1,39.0,Masculin,Avant gauche,Indemne,Conducteur
50,1,50.0,Masculin,Avant gauche,Tué,Conducteur
51,1,16.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
52,1,52.0,Féminin,Avant gauche,Indemne,Conducteur
53,1,21.0,Masculin,Avant gauche,Blessé léger,Conducteur
54,1,19.0,Féminin,Avant gauche,Indemne,Passager
55,1,42.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
56,1,53.0,Masculin,Avant gauche,Indemne,Conducteur
57,1,70.0,Féminin,Unknown,Tué,Piéton
58,1,21.0,Masculin,Avant gauche,Indemne,Conducteur
59,1,20.0,Masculin,Avant droit,Indemne,Passager
60,1,32.0,Féminin,Unknown,Blessé hospitalisé,Piéton
61,1,26.0,Masculin,Avant gauche,Blessé léger,Conducteur
62,1,52.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
