id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
1,826,20,Male,Not passenger,Slight,Driver or rider
2,826,18,Female,Front seat,Slight,Passenger
3,826,65,Male,Front seat,Slight,Passenger
4,826,52,Male,Rear seat,Slight,Passenger
5,826,87,Male,Boarding/alighting,Slight,Passenger
6,826,19,Female,Not passenger,Slight,Driver or rider
7,826,24,Male,Front seat,Slight,Passenger
8,826,11,Male,Rear seat,Slight,Passenger
9,826,22,Male,Not passenger,Slight,Driver or rider
10,826,45,Male,Not passenger,Serious,Driver or rider
11,826,22,Female,Not passenger,Slight,Driver or rider
12,826,15,Female,Not passenger,Slight,Passenger
13,826,51,Male,Not passenger,Slight,Driver or rider
14,826,49,Male,Not passenger,Slight,Driver or rider
15,826,16,Male,Not passenger,Slight,Driver or rider
16,826,21,Female,Not passenger,Slight,Passenger
17,826,56,Female,Rear seat,Slight,Passenger
18,826,26,Male,Not passenger,Slight,Driver or rider
19,826,59,Female,Not passenger,Serious,Driver or rider
20,826,56,Male,Not passenger,Serious,Driver or rider
21,826,19,Male,Not passenger,Slight,Driver or rider
22,826,25,Female,Front seat,Slight,Passenger
23,826,44,Male,Not passenger,Slight,Driver or rider
24,826,38,Female,Not passenger,Slight,Driver or rider
25,826,32,Female,Not passenger,Slight,Driver or rider
26,826,23,Male,Not passenger,Slight,Passenger
27,826,6,Female,Front seat,Slight,Passenger
28,826,9,Female,Not passenger,Serious,Pedestrian
29,826,15,Male,Not passenger,Slight,Pedestrian
30,826,65,Female,Not passenger,Slight,Passenger
31,826,20,Male,Front seat,Slight,Passenger
32,826,45,Female,Rear seat,Slight,Passenger
33,826,14,Male,Not passenger,Slight,Pedestrian
34,826,45,Female,Not passenger,Slight,Driver or rider
35,826,81,Male,Not passenger,Slight,Pedestrian
36,826,19,Male,Not passenger,Serious,Pedestrian
37,826,27,Female,Not passenger,Slight,Pedestrian
38,826,17,Male,Front seat,Slight,Passenger
39,826,29,Female,Not passenger,Slight,Driver or rider
40,826,34,Male,Not passenger,Serious,Driver or rider
41,826,28,Female,Not passenger,Slight,Driver or rider
42,826,29,Male,Not passenger,Serious,Driver or rider
43,826,17,Male,Not passenger,Serious,Pedestrian
44,826,17,Male,Not passenger,Slight,Driver or rider
45,826,23,Male,Rear seat,Slight,Passenger
46,826,10,Male,Not passenger,Slight,Pedestrian
47,826,65,Female,Not passenger,Slight,Pedestrian
48,826,33,Female,Not passenger,Serious,Driver or rider
49,826,9,Female,Not passenger,Slight,Pedestrian
50,826,10,Female,Front seat,Slight,Passenger
51,826,23,Male,Front seat,Slight,Passenger
52,826,53,Male,Not passenger,Serious,Driver or rider
53,826,24,Male,Not passenger,Serious,Driver or rider
54,826,69,Male,Not passenger,Serious,Driver or rider
55,826,70,Female,Not passenger,Slight,Pedestrian
56,826,63,Male,Not passenger,Slight,Driver or rider
57,826,2,Female,Front seat,Slight,Passenger
58,826,32,Male,Not passenger,Slight,Driver or rider
59,826,10,Male,Not passenger,Slight,Driver or rider
60,826,68,Male,Not passenger,Slight,Driver or rider
61,826,53,Male,Not passenger,Slight,Driver or rider
62,826,,Male,Not passenger,Slight,Driver or rider
63,826,31,Male,Not passenger,Serious,Driver or rider
64,826,59,Female,Front seat,Slight,Passenger
65,826,25,Male,Not passenger,Slight,Driver or rider
66,826,,Female,Not passenger,Slight,Driver or rider
67,826,4,Female,Not passenger,Slight,Pedestrian
68,826,22,Male,Not passenger,Slight,Passenger
69,826,45,Male,Not passenger,Slight,Driver or rider
70,826,28,Male,Not passenger,Slight,Driver or rider
71,826,58,Male,Not passenger,Slight,Driver or rider
72,826,47,Female,Rear seat,Slight,Passenger
73,826,38,Male,Not passenger,Serious,Driver or rider
74,826,3,Female,Not passenger,Serious,Pedestrian
75,826,7,Female,Not passenger,Slight,Pedestrian
76,826,22,Female,Not passenger,Slight,Pedestrian
77,826,20,Female,Not passenger,Slight,Driver or rider
78,826,46,Female,Front seat,Slight,Passenger
79,826,34,Female,Not passenger,Serious,Driver or rider
80,826,21,Female,Rear seat,Slight,Passenger
81,826,30,Female,Not passenger,Slight,Pedestrian
82,826,22,Male,Not passenger,Slight,Pedestrian
83,826,,Unknown,Not passenger,Slight,Pedestrian
84,826,4,Male,Not passenger,Serious,Driver or rider
85,826,58,Female,Seated passenger,Slight,Passenger
86,826,18,Male,Not passenger,Serious,Driver or rider
87,826,15,Male,Unknown,Slight,Passenger
88,826,22,Female,Front seat,Slight,Passenger
89,826,1,Female,Not passenger,Serious,Pedestrian
90,826,19,Male,Not passenger,Serious,Driver or rider
91,826,37,Female,Not passenger,Slight,Driver or rider
92,826,14,Male,Not passenger,Serious,Driver or rider
93,826,36,Female,Front seat,Slight,Passenger
94,826,35,Male,Not passenger,Serious,Driver or rider
95,826,17,Male,Rear seat,Slight,Passenger
96,826,55,Male,Not passenger,Slight,Pedestrian
97,826,57,Male,Not passenger,Slight,Driver or rider
98,826,30,Male,Not passenger,Slight,Driver or rider
99,826,18,Male,Not passenger,Slight,Driver or rider
100,826,15,Male,Not passenger,Serious,Driver or rider
101,826,20,Male,Not passenger,Serious,Driver or rider
102,826,16,Female,Boarding/alighting,Slight,Passenger
103,826,26,Female,Not passenger,Slight,Driver or rider
104,826,27,Female,Not passenger,Slight,Driver or rider
105,826,15,Male,Not passenger,Slight,Driver or rider
106,826,19,Male,Not passenger,Slight,Pedestrian
107,826,13,Female,Not passenger,Slight,Passenger
108,826,35,Male,Not passenger,Slight,Driver or rider
109,826,11,Male,Not passenger,Slight,Driver or rider
110,826,35,Female,Boarding/alighting,Slight,Passenger
111,826,26,Female,Not passenger,Slight,Passenger
112,826,81,Male,Boarding/alighting,Slight,Passenger
113,826,60,Male,Not passenger,Slight,Driver or rider
114,826,45,Female,Front seat,Serious,Passenger
115,826,22,Male,Front seat,Slight,Passenger
116,826,8,Male,Not passenger,Slight,Pedestrian
117,826,27,Male,Not passenger,Slight,Driver or rider
118,826,50,Female,Seated passenger,Slight,Passenger
119,826,63,Male,Front seat,Slight,Passenger
120,826,54,Female,Front seat,Slight,Passenger
121,826,83,Male,Not passenger,Fatal,Driver or rider
122,826,17,Female,Not passenger,Slight,Pedestrian
123,826,12,Male,Not passenger,Slight,Pedestrian
