id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
1,1,VL seul,Sans changement de direction,0.0,Unknown
2,1,VL seul,En faisant demi-tour,0.0,Unknown
3,1,VL seul,Tournant à droite,0.0,Unknown
4,1,Cyclomoteur <50cm3,Sans changement de direction,0.0,Unknown
5,1,VL seul,Déporté à gauche,0.0,Unknown
6,1,Référence inutilisée,Traversant la chaussée,0.0,Unknown
7,1,VL seul,Déporté à droite,0.0,Unknown
8,1,VL seul,Traversant la chaussée,0.0,Unknown
9,1,VL seul,Dépassant à gauche,0.0,Unknown
10,1,VL seul,Unknown,0.0,Unknown
11,1,VL seul,"Même sens, même file",0.0,Unknown
12,1,VL seul,Tournant à gauche,0.0,Unknown
13,1,Référence inutilisée,Sans changement de direction,0.0,Unknown
14,1,VL seul,A contresens,0.0,Unknown
15,1,Référence inutilisée,Déporté à gauche,0.0,Unknown
16,1,VL seul,Manœuvre de stationnement,0.0,Unknown
17,1,Cyclomoteur <50cm3,Dépassant à gauche,0.0,Unknown
18,1,Référence inutilisée,Sans changement de direction,1.0,Unknown
19,1,VL seul,Manœuvre d'évitement,0.0,Unknown
20,1,Tracteur routier + semi-remorque,Sans changement de direction,0.0,Unknown
21,1,Référence inutilisée,Dépassant à gauche,0.0,Unknown
22,1,Bicyclette,Changeant de file à gauche,0.0,Unknown
23,1,VL seul,Arrêté (hors stationnement),0.0,Unknown
24,1,"VU seul 1,5T<=PTAC<=3,5T",Tournant à gauche,0.0,Unknown
25,1,Bicyclette,Sans changement de direction,0.0,Unknown
26,1,VL seul,En stationnement (avec occupants),0.0,Unknown
27,1,Référence inutilisée,"Même sens, même file",0.0,Unknown
28,1,VL seul,En marche arrière,0.0,Unknown
29,1,Cyclomoteur <50cm3,A contresens,0.0,Unknown
30,1,"PL >3,5T + remorque",A contresens,0.0,Unknown
31,1,Cyclomoteur <50cm3,Traversant la chaussée,0.0,Unknown
32,1,VL seul,Changeant de file à gauche,0.0,Unknown
33,1,"PL seul >7,5T",Traversant la chaussée,0.0,Unknown
34,1,"PL >3,5T + remorque",Sans changement de direction,0.0,Unknown
35,1,Référence inutilisée,Tournant à droite,0.0,Unknown
36,1,Bicyclette,Manœuvre d'évitement,0.0,Unknown
37,1,Référence inutilisée,Unknown,0.0,Unknown
38,1,Cyclomoteur <50cm3,Unknown,0.0,Unknown
39,1,Cyclomoteur <50cm3,Dépassant à droite,0.0,Unknown
40,1,VL seul,En s'insérant,0.0,Unknown
41,1,"VU seul 1,5T<=PTAC<=3,5T","Même sens, même file",0.0,Unknown
42,1,"VU seul 1,5T<=PTAC<=3,5T",Sans changement de direction,0.0,Unknown
43,1,Bicyclette,"Même sens, même file",0.0,Unknown
44,1,Tracteur routier + semi-remorque,Déporté à gauche,0.0,Unknown
45,1,Référence inutilisée,Manœuvre d'évitement,0.0,Unknown
46,1,Cyclomoteur <50cm3,Arrêté (hors stationnement),0.0,Unknown
47,1,Cyclomoteur <50cm3,"Même sens, même file",0.0,Unknown
48,1,Cyclomoteur <50cm3,Déporté à gauche,0.0,Unknown
49,1,"PL seul 3,5T<PTAC<=7,5T",Sans changement de direction,0.0,Unknown
50,1,"PL seul >7,5T",Sans changement de direction,0.0,Unknown
51,1,Cyclomoteur <50cm3,Tournant à gauche,0.0,Unknown
52,1,"PL seul 3,5T<PTAC<=7,5T",Dépassant à gauche,0.0,Unknown
53,1,Référence inutilisée,Sans changement de direction,2.0,Unknown
54,1,"PL seul >7,5T",Manœuvre d'évitement,0.0,Unknown
55,1,"VU seul 1,5T<=PTAC<=3,5T",Traversant la chaussée,0.0,Unknown
56,1,Bicyclette,A contresens,0.0,Unknown
57,1,"PL >3,5T + remorque",Tournant à gauche,0.0,Unknown
58,1,Bicyclette,En s'insérant,0.0,Unknown
59,1,Tracteur agricole,Tournant à gauche,0.0,Unknown
60,1,Bicyclette,Traversant la chaussée,0.0,Unknown
61,1,VL seul,En franchissant le terre-plein central,0.0,Unknown
62,1,Bicyclette,Tournant à gauche,0.0,Unknown
63,1,Tracteur routier + semi-remorque,"Même sens, même file",0.0,Unknown
64,1,Tracteur routier + semi-remorque,Déporté à droite,0.0,Unknown
65,1,Bicyclette,Déporté à gauche,0.0,Unknown
66,1,Cyclomoteur <50cm3,Tournant à droite,0.0,Unknown
67,1,"PL seul >7,5T",En stationnement (avec occupants),0.0,Unknown
68,1,Engin spécial,Déporté à gauche,0.0,Unknown
69,1,Tracteur routier + semi-remorque,Tournant à droite,0.0,Unknown
70,1,Tracteur routier + semi-remorque,Tournant à gauche,0.0,Unknown
71,1,Bicyclette,Unknown,0.0,Unknown
72,1,"PL >3,5T + remorque",Tournant à droite,0.0,Unknown
73,1,Référence inutilisée,Déporté à gauche,26.0,Unknown
74,1,Tracteur agricole,Sans changement de direction,0.0,Unknown
75,1,Référence inutilisée,Arrêté (hors stationnement),23.0,Unknown
76,1,"PL seul >7,5T",Unknown,0.0,Unknown
77,1,Référence inutilisée,Sans changement de direction,36.0,Unknown
78,1,Tracteur agricole,Unknown,0.0,Unknown
79,1,Référence inutilisée,Sans changement de direction,31.0,Unknown
80,1,"PL seul >7,5T",Dépassant à gauche,0.0,Unknown
81,1,Autre véhicule,Sans changement de direction,0.0,Unknown
82,1,Cyclomoteur <50cm3,Manœuvre d'évitement,0.0,Unknown
83,1,"VU seul 1,5T<=PTAC<=3,5T",Dépassant à gauche,0.0,Unknown
84,1,Tracteur routier + semi-remorque,Dépassant à gauche,0.0,Unknown
85,1,Référence inutilisée,Tournant à gauche,0.0,Unknown
86,1,Tracteur routier + semi-remorque,Manœuvre d'évitement,0.0,Unknown
87,1,"VU seul 1,5T<=PTAC<=3,5T",Déporté à gauche,0.0,Unknown
88,1,Tracteur routier + semi-remorque,Unknown,0.0,Unknown
89,1,Référence inutilisée,En marche arrière,6.0,Unknown
90,1,Voiturette,Tournant à gauche,0.0,Unknown
91,1,Tracteur routier + semi-remorque,Arrêté (hors stationnement),0.0,Unknown
92,1,Référence inutilisée,Déporté à droite,0.0,Unknown
93,1,Référence inutilisée,Sans changement de direction,51.0,Unknown
94,1,"PL >3,5T + remorque",Arrêté (hors stationnement),0.0,Unknown
95,1,Voiturette,Arrêté (hors stationnement),0.0,Unknown
96,1,"PL >3,5T + remorque",En stationnement (avec occupants),0.0,Unknown
97,1,Tracteur agricole,"Même sens, même file",0.0,Unknown
98,1,"PL >3,5T + remorque",Unknown,0.0,Unknown
99,1,Référence inutilisée,En stationnement (avec occupants),1.0,Unknown
100,1,"PL >3,5T + remorque",Déporté à gauche,0.0,Unknown
101,1,Référence inutilisée,Sans changement de direction,27.0,Unknown
102,1,Référence inutilisée,A contresens,0.0,Unknown
103,1,"PL seul >7,5T",Tournant à gauche,0.0,Unknown
104,1,Référence inutilisée,Sans changement de direction,52.0,Unknown
105,1,Référence inutilisée,Sans changement de direction,25.0,Unknown
106,1,Référence inutilisée,Changeant de file à gauche,10.0,Unknown
107,1,Référence inutilisée,A contresens,8.0,Unknown
108,1,Autre véhicule,Unknown,0.0,Unknown
109,1,Bicyclette,Déporté à droite,0.0,Unknown
110,1,"PL seul 3,5T<PTAC<=7,5T",Tournant à gauche,0.0,Unknown
111,1,Cyclomoteur <50cm3,Changeant de file à gauche,0.0,Unknown
112,1,Cyclomoteur <50cm3,Déporté à droite,0.0,Unknown
113,1,VL seul,Dépassant à droite,0.0,Unknown
114,1,Voiturette,Traversant la chaussée,0.0,Unknown
115,1,Référence inutilisée,Sans changement de direction,14.0,Unknown
116,1,Référence inutilisée,Sans changement de direction,20.0,Unknown
117,1,Tracteur routier + semi-remorque,A contresens,0.0,Unknown
