id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
1,826,Car,Going ahead,0,Petrol
2,826,Car,Turning right,0,Petrol
3,826,Car,Waiting to go ahead,0,Petrol
4,826,Car,Parked,0,Petrol
5,826,Car,Turning left,0,Petrol
6,826,Car,Waiting to turn right,0,Petrol
7,826,Car,Slowing or stopping,0,Petrol
8,826,Car,Reversing,0,Petrol
9,826,Car,Moving off,0,Petrol
10,826,Motorcycle 125cc and under,Going ahead,0,Unknown
11,826,Motorcycle 125cc and under,Going ahead,0,Petrol
12,826,Motorcycle 125cc and under,Overtaking moving vehicle on offside,0,Petrol
13,826,Motorcycle 125cc and under,Turning right,0,Unknown
14,826,Motorcycle over 500cc,Going ahead,0,Petrol
15,826,Van/Goods vehicle 3.5t and under,Going ahead,0,Heavy oil
16,826,Van/Goods vehicle 3.5t and under,Slowing or stopping,0,Heavy oil
17,826,Van/Goods vehicle 3.5t and under,Waiting to go ahead,0,Heavy oil
18,826,Van/Goods vehicle 3.5t and under,Moving off,0,Heavy oil
19,826,Van/Goods vehicle 3.5t and under,Parked,0,Heavy oil
20,826,Van/Goods vehicle 3.5t and under,Changing lane to right,0,Heavy oil
21,826,Van/Goods vehicle 3.5t and under,Reversing,0,Heavy oil
22,826,Van/Goods vehicle 3.5t and under,Overtaking on nearside,0,Heavy oil
23,826,Van/Goods vehicle 3.5t and under,Turning right,0,Heavy oil
24,826,Van/Goods vehicle 3.5t and under,Turning left,0,Heavy oil
25,826,Car,Going ahead,0,Heavy oil
26,826,Goods vehicle over 3.5t and up to 7.5t,Going ahead,0,Unknown
27,826,Goods vehicle over 3.5t and up to 7.5t,Turning right,0,Unknown
28,826,Minibus (8-16 passenger seats),Going ahead,0,Heavy oil
29,826,Van/Goods vehicle 3.5t and under,Overtaking moving vehicle on offside,0,Heavy oil
30,826,Motorcycle 125cc and under,Slowing or stopping,0,Petrol
31,826,Motorcycle 50cc and under,Overtaking static vehicle on offside,0,Petrol
32,826,Motorcycle over 500cc,Going ahead,0,Unknown
33,826,Car,Slowing or stopping,0,Heavy oil
34,826,Car,Turning right,0,Heavy oil
35,826,Car,Waiting to go ahead,0,Heavy oil
36,826,Motorcycle over 125cc and up to 500cc,Going ahead,0,Petrol
37,826,Motorcycle over 125cc and up to 500cc,Turning right,0,Petrol
38,826,Motorcycle 125cc and under,Overtaking on nearside,0,Petrol
39,826,Motorcycle 125cc and under,Overtaking static vehicle on offside,0,Petrol
40,826,Car,Changing lane to right,0,Heavy oil
41,826,Car,Overtaking on nearside,0,Heavy oil
42,826,Car,Going ahead,0,Unknown
43,826,Van/Goods vehicle 3.5t and under,Going ahead,4,Heavy oil
44,826,Car,Parked,0,Heavy oil
45,826,Car,Reversing,0,Heavy oil
46,826,Motorcycle over 500cc,Overtaking static vehicle on offside,0,Petrol
47,826,Motorcycle 125cc and under,Turning left,0,Petrol
48,826,Motorcycle over 125cc and up to 500cc,Overtaking static vehicle on offside,0,Petrol
49,826,Motorcycle 50cc and under,Going ahead,0,Petrol
50,826,Motorcycle 125cc and under,Moving off,0,Petrol
51,826,Car,Overtaking moving vehicle on offside,0,Petrol
52,826,Car,Overtaking static vehicle on offside,0,Petrol
53,826,Car,Moving off,0,Heavy oil
54,826,Car,Unknown,5,Heavy oil
55,826,Car,Unknown,0,Heavy oil
56,826,Agricultural vehicle,Turning left,4,Heavy oil
57,826,Agricultural vehicle,Turning right,5,Heavy oil
58,826,Car,Turning right,0,Unknown
59,826,Car,Waiting to go ahead,0,Unknown
60,826,Motorcycle 125cc and under,Turning right,0,Petrol
61,826,Car,Unknown,9,Petrol
62,826,Car,Going ahead,9,Petrol
63,826,Car,Turning left,0,Heavy oil
64,826,Car,Unknown,0,Petrol
65,826,Car,Going ahead,9,Heavy oil
66,826,Car,Overtaking moving vehicle on offside,0,Heavy oil
67,826,Car,Waiting to turn left,0,Heavy oil
68,826,Motorcycle 125cc and under,Unknown,0,Petrol
69,826,Motorcycle 125cc and under,Waiting to turn right,0,Petrol
70,826,Motorcycle 125cc and under,Unknown,9,Petrol
71,826,Motorcycle 125cc and under,Waiting to go ahead,0,Petrol
72,826,Motorcycle 50cc and under,Moving off,0,Petrol
73,826,Motorcycle over 125cc and up to 500cc,Moving off,0,Petrol
74,826,Car,U-turn,0,Petrol
75,826,Car,Slowing or stopping,0,Unknown
76,826,Car,Changing lane to left,0,Heavy oil
77,826,Car,Overtaking static vehicle on offside,0,Heavy oil
78,826,Car,Turning right,,Petrol
79,826,Car,Unknown,9,Heavy oil
80,826,Motorcycle over 500cc,Overtaking moving vehicle on offside,0,Petrol
81,826,Car,Changing lane to right,0,Petrol
82,826,Car,Going ahead,0,Electric
83,826,Car,Slowing or stopping,0,Electric
84,826,Car,Waiting to turn right,0,Heavy oil
85,826,Car,Moving off,0,Electric
86,826,Car,Unknown,0,Electric
87,826,Goods vehicle over 7.5t,Going ahead,0,Heavy oil
88,826,Bus or coach (17+ passenger seats),Going ahead,0,Heavy oil
89,826,Goods vehicle over 3.5t and up to 7.5t,Going ahead,0,Heavy oil
90,826,Goods vehicle over 7.5t,Going ahead,1,Heavy oil
91,826,Goods vehicle over 7.5t,Changing lane to left,1,Heavy oil
92,826,Van/Goods vehicle 3.5t and under,Turning left,0,Unknown
93,826,Goods vehicle over 7.5t,Moving off,0,Heavy oil
94,826,Goods vehicle over 3.5t and up to 7.5t,Slowing or stopping,0,Heavy oil
95,826,Car,Overtaking on nearside,0,Petrol
96,826,Car,Turning right,9,Petrol
97,826,Motorcycle over 500cc,Slowing or stopping,0,Petrol
98,826,Taxi/Private hire car,Unknown,0,Heavy oil
99,826,Taxi/Private hire car,Waiting to turn right,0,Heavy oil
100,826,Car,Waiting to turn left,0,Petrol
101,826,Car,Going ahead,,Petrol
102,826,Taxi/Private hire car,Going ahead,0,Heavy oil
103,826,Bus or coach (17+ passenger seats),Slowing or stopping,0,Heavy oil
104,826,Car,Unknown,9,Electric
105,826,Car,Turning right,0,Electric
106,826,Car,Waiting to go ahead,0,Electric
107,826,Car,Waiting to turn right,0,Electric
108,826,Car,Changing lane to left,0,Petrol
109,826,Car,Unknown,,Petrol
110,826,Car,Parked,0,Electric
111,826,Motorcycle over 500cc,Changing lane to left,0,Petrol
112,826,Car,Slowing or stopping,0,Hybrid electric
113,826,Car,Moving off,0,Hybrid electric
114,826,Car,Going ahead,0,Hybrid electric
115,826,Car,Overtaking on nearside,0,Hybrid electric
116,826,Motorcycle over 125cc and up to 500cc,Waiting to go ahead,,Petrol
117,826,Motorcycle 50cc and under,Unknown,0,Petrol
118,826,Motorcycle over 500cc,Moving off,0,Petrol
119,826,Motorcycle 125cc and under,Changing lane to left,0,Petrol
120,826,Taxi/Private hire car,Moving off,0,Heavy oil
121,826,Car,Turning right,0,Hybrid electric
122,826,Car,U-turn,0,Heavy oil
123,826,Car,Turning left,0,Hybrid electric
124,826,Motorcycle 50cc and under,Turning right,0,Petrol
125,826,Motorcycle 50cc and under,Going ahead,0,Electric
126,826,Motorcycle - unknown cc,Going ahead,0,Petrol
127,826,Motorcycle over 125cc and up to 500cc,Changing lane to right,0,Petrol
128,826,Car,Overtaking moving vehicle on offside,0,Electric
129,826,Goods vehicle over 7.5t,Unknown,9,Heavy oil
130,826,Other vehicle,Going ahead,0,Heavy oil
131,826,Agricultural vehicle,Parked,0,Petrol
132,826,Agricultural vehicle,Turning right,0,Petrol
133,826,Motorcycle 125cc and under,Overtaking static vehicle on offside,9,Petrol
134,826,Minibus (8-16 passenger seats),Turning right,0,Unknown
135,826,Car,Slowing or stopping,9,Petrol
136,826,Motorcycle over 500cc,Unknown,0,Petrol
137,826,Motorcycle over 500cc,Unknown,,Petrol
138,826,Taxi/Private hire car,Moving off,0,Unknown
139,826,Taxi/Private hire car,Going ahead,0,Unknown
140,826,Taxi/Private hire car,Turning right,0,Heavy oil
141,826,Minibus (8-16 passenger seats),Going ahead,0,Unknown
142,826,Other vehicle,Slowing or stopping,0,Heavy oil
143,826,Van/Goods vehicle 3.5t and under,Unknown,0,Heavy oil
144,826,Taxi/Private hire car,Changing lane to right,0,Heavy oil
145,826,Minibus (8-16 passenger seats),Waiting to go ahead,0,Heavy oil
146,826,Motorcycle 50cc and under,Slowing or stopping,0,Petrol
147,826,Motorcycle 50cc and under,Overtaking moving vehicle on offside,0,Petrol
148,826,Motorcycle over 500cc,Changing lane to right,0,Petrol
149,826,Goods vehicle over 7.5t,Slowing or stopping,0,Heavy oil
150,826,Minibus (8-16 passenger seats),Turning right,0,Heavy oil
151,826,Car,Turning left,0,Unknown
152,826,Car,Moving off,0,Unknown
153,826,Car,Going ahead,2,Petrol
154,826,Car,Parked,0,Unknown
155,826,Electric motorcycle,Going ahead,0,Petrol
156,826,Van/Goods vehicle 3.5t and under,Unknown,9,Heavy oil
157,826,Van/Goods vehicle 3.5t and under,Overtaking static vehicle on offside,0,Heavy oil
158,826,Motorcycle over 125cc and up to 500cc,Unknown,0,Petrol
159,826,Car,Unknown,0,Hybrid electric
160,826,Bus or coach (17+ passenger seats),Waiting to go ahead,0,Heavy oil
161,826,Taxi/Private hire car,Turning left,0,Heavy oil
162,826,Car,Turning right,,Heavy oil
163,826,Car,Unknown,,Heavy oil
164,826,Goods vehicle over 7.5t,Overtaking moving vehicle on offside,0,Heavy oil
165,826,Goods vehicle over 3.5t and up to 7.5t,Changing lane to right,0,Heavy oil
166,826,Goods vehicle over 7.5t,Moving off,1,Heavy oil
167,826,Other vehicle,Turning right,0,Heavy oil
168,826,Goods vehicle over 7.5t,Turning right,0,Heavy oil
169,826,Goods vehicle over 7.5t,Parked,4,Heavy oil
170,826,Van/Goods vehicle 3.5t and under,Unknown,0,Petrol
171,826,Car,Changing lane to left,9,Petrol
172,826,Car,Waiting to go ahead,0,Hybrid electric
173,826,Car,Changing lane to right,0,Hybrid electric
174,826,Motorcycle over 500cc,Overtaking on nearside,0,Petrol
175,826,Van/Goods vehicle 3.5t and under,U-turn,0,Heavy oil
176,826,Van/Goods vehicle 3.5t and under,Waiting to turn right,0,Heavy oil
177,826,Goods vehicle over 3.5t and up to 7.5t,Changing lane to left,0,Unknown
178,826,Van/Goods vehicle 3.5t and under,Slowing or stopping,4,Heavy oil
179,826,Minibus (8-16 passenger seats),Parked,0,Heavy oil
180,826,Goods vehicle over 3.5t and up to 7.5t,Waiting to go ahead,0,Unknown
181,826,Van/Goods vehicle 3.5t and under,Turning right,0,Electric
182,826,Van/Goods vehicle 3.5t and under,Changing lane to left,0,Heavy oil
183,826,Goods vehicle over 3.5t and up to 7.5t,Waiting to go ahead,0,Heavy oil
184,826,Van/Goods vehicle 3.5t and under,Turning left,0,Petrol
185,826,Motorcycle - unknown cc,Unknown,0,Petrol
186,826,Motorcycle 125cc and under,U-turn,0,Petrol
187,826,Motorcycle 125cc and under,Changing lane to right,0,Petrol
188,826,Motorcycle 125cc and under,Waiting to turn left,0,Petrol
189,826,Motorcycle 50cc and under,Changing lane to right,0,Petrol
190,826,Motorcycle 50cc and under,Turning left,0,Petrol
191,826,Motorcycle 125cc and under,Going ahead,9,Petrol
192,826,Bus or coach (17+ passenger seats),Waiting to turn right,0,Heavy oil
193,826,Bus or coach (17+ passenger seats),Turning right,0,Heavy oil
194,826,Bus or coach (17+ passenger seats),Parked,0,Heavy oil
195,826,Bus or coach (17+ passenger seats),Moving off,0,Electric
196,826,Van/Goods vehicle 3.5t and under,Going ahead,0,Petrol
197,826,Van/Goods vehicle 3.5t and under,Waiting to turn left,0,Heavy oil
198,826,Van/Goods vehicle 3.5t and under,Waiting to go ahead,0,Petrol
199,826,Goods vehicle over 3.5t and up to 7.5t,Unknown,0,Unknown
200,826,Goods vehicle over 3.5t and up to 7.5t,Going ahead,4,Unknown
201,826,Minibus (8-16 passenger seats),Parked,0,Unknown
202,826,Car,Slowing or stopping,5,Heavy oil
203,826,Motorcycle over 500cc,Parked,0,Petrol
204,826,Agricultural vehicle,Moving off,4,Heavy oil
205,826,Car,Going ahead,4,Heavy oil
206,826,Car,Overtaking moving vehicle on offside,4,Heavy oil
207,826,Car,Overtaking static vehicle on offside,0,Hybrid electric
208,826,Motorcycle over 500cc,Turning left,0,Petrol
209,826,Car,Unknown,4,Petrol
210,826,Car,Changing lane to left,0,Hybrid electric
